id,category,name,price_tier,neighborhood,opening hour,closing hour,averag_erating,good_for_kids
1,Greek,TSUMO,cheap,Brooklyn,9:38,19:22,5,false
2,Indian,ChoCho Hot Pot,medium,Bronx,8:57,23:55,4,false
3,Italian,Sky Pavilion,cheap,Harlem,8:06,20:07,4,true
4,Italian,Brasserie VietNam,cheap,Harlem,9:31,23:08,1,false
5,Italian,Le Gratin,expensive,Queens,9:25,18:55,2,true
6,Greek,Una Pizza,cheap,Bronx,8:00,21:29,1,false
7,Mexican,Una Pizza,expensive,Brooklyn,9:54,18:11,1,true
8,Indian,Saigon Shack,cheap,Bronx,10:26,23:58,3,true
9,Greek,the Gramercy Room,cheap,Bronx,9:52,23:45,3,false
10,Mexican,Una Pizza,cheap,Staten Island,10:10,19:55,5,true
11,Italian,Saigon Shack,medium,Bronx,9:39,18:40,3,true
12,Italian,Up Thai,cheap,Bronx,9:44,23:41,1,true
13,Indian,ChoCho Hot Pot,expensive,Queens,10:18,18:40,4,true
14,Italian,Brasserie VietNam,expensive,Manhattan,9:29,21:40,1,true
15,Indian,Sky Pavilion,expensive,Brooklyn,8:05,21:19,5,true
16,Mexican,Le Gratin,expensive,Brooklyn,9:14,23:02,4,true
17,Indian,Mitr Thai,cheap,Brooklyn,8:41,19:11,1,false
18,Greek,Brasserie VietNam,cheap,Manhattan,8:42,18:48,4,false
19,Greek,Sky Pavilion,expensive,Brooklyn,9:24,18:13,1,true
20,Mexican,Little Ruby's Cafe,cheap,Harlem,9:28,23:46,3,true
21,Greek,ChoCho Hot Pot,cheap,Manhattan,10:12,20:07,5,true
22,Italian,Una Pizza,medium,Manhattan,8:25,18:25,3,false
23,Indian,Una Pizza,expensive,Harlem,8:34,23:15,5,true
24,Japanese,TSUMO,expensive,Queens,8:22,22:32,2,false
25,Japanese,TSUMO,medium,Bronx,9:29,21:14,3,true
26,Greek,Brasserie VietNam,cheap,Queens,8:41,21:16,2,false
27,Mexican,Brasserie VietNam,cheap,Harlem,10:13,23:11,4,false
28,Greek,Mitr Thai,expensive,Bronx,8:43,21:50,5,false
29,Mexican,the Gramercy Room,expensive,Brooklyn,10:04,22:07,1,false
30,Greek,Sky Pavilion,cheap,Bronx,9:40,18:33,5,true
31,Italian,Una Pizza,cheap,Harlem,9:32,21:04,5,false
32,Italian,Sky Pavilion,medium,Brooklyn,8:10,22:51,4,false
33,Italian,TSUMO,cheap,Brooklyn,8:49,19:13,3,true
34,Mexican,Una Pizza,medium,Queens,9:29,19:47,4,true
35,Mexican,Up Thai,expensive,Bronx,8:20,18:51,4,true
36,Greek,Le Gratin,expensive,Harlem,9:08,20:37,2,true
37,Japanese,Mitr Thai,medium,Queens,9:54,23:58,1,true
38,Greek,Little Ruby's Cafe,expensive,Harlem,9:01,20:14,1,false
39,Italian,Raku,cheap,Manhattan,9:52,20:22,1,false
40,Greek,Up Thai,medium,Queens,8:02,19:54,5,true
41,Mexican,Brasserie VietNam,expensive,Staten Island,10:31,20:35,1,false
42,Greek,Raku,expensive,Harlem,10:40,22:30,3,true
43,Greek,Raku,expensive,Queens,10:08,19:52,5,true
44,Indian,ChoCho Hot Pot,expensive,Staten Island,8:52,23:28,3,false
45,Mexican,Una Pizza,medium,Bronx,8:51,21:06,4,false
46,Mexican,Saigon Shack,cheap,Brooklyn,9:09,20:39,3,false
47,Mexican,Mitr Thai,medium,Brooklyn,8:54,19:16,2,true
48,Italian,Up Thai,expensive,Staten Island,9:58,19:43,3,true
49,Greek,TSUMO,cheap,Bronx,8:28,21:00,2,false
50,Italian,TSUMO,expensive,Queens,10:21,21:37,4,false
